"Position","Track.Name","Artist","Streams","songId","Month","Region"
11,"Chambea","Bad Bunny",0,"6ElmxV9B2mSNscEjP27M7i","2017-10-01","do"
11,"Limonada Coco - Remix","Musicologo The Libro",0,"1itehVOMz2qYoxf4kKksfd","2017-10-01","do"
11,"La Modelo","Ozuna",0,"2m2ZGfJcs3lHWNPzhWH3XH","2017-10-01","do"
11,"Corazón","Maluma",0,"4lESS6vuruP6a79KWRaQou","2017-10-01","do"
1,"Sensualidad","Bad Bunny",319207,"5hcisvFMidkMJlElTO9Qmw","2017-11-01","do"
2,"Vuelve","Daddy Yankee",294435,"0lJCqIx5BhZtf6QtYI2fbv","2017-11-01","do"
3,"Criminal","Natti Natasha",229476,"6Za3190Sbw39BBC77WSS1C","2017-11-01","do"
4,"Se Preparó","Ozuna",226264,"1m69ELEgE6k5ZWsap40ozt","2017-11-01","do"
5,"Mayores","Becky G",216989,"7JNh1cfm0eXjqFVOzKLyau","2017-11-01","do"
6,"El Farsante","Ozuna",201096,"5EId1m4DNwTf3at31w8bPJ","2017-11-01","do"
7,"Explícale","Yandel",188493,"1LszjjoVwDDZcWUQbzeDLG","2017-11-01","do"
8,"Báilame - Remix","Nacho",203572,"3VClLWqNn80Llv0PJOsKgr","2017-11-01","do"
9,"Criminal","Natti Natasha",86893,"2SmgFAhQkQCQPyBiBxR6Te","2017-11-01","do"
10,"Échame La Culpa","Luis Fonsi",78265,"1zsG4eaZmkA1dvjDDsAGLK","2017-11-01","do"
11,"Soy Peor","Bad Bunny",0,"5MT96Zz0ymUJNm8obKZQr0","2017-11-01","do"
11,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",0,"4aWmUDTfIPGksMNLV2rQP2","2017-11-01","do"
11,"Chantaje","Shakira",0,"6mICuAdrwEjh6Y6lroV2Kg","2017-11-01","do"
11,"Tu No Vive Asi (feat. Mambo Kingz & DJ Luian)","Arcangel",0,"6NSMQFKgjpQb0KkjMDYIK0","2017-11-01","do"
11,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)","Farruko",0,"2FrnTVSHjgnEylKGdHRUK1","2017-11-01","do"
11,"Otra Vez (feat. J Balvin)","Zion & Lennox",0,"3QwBODjSEzelZyVjxPOHdq","2017-11-01","do"
11,"Shape of You","Ed Sheeran",0,"7qiZfU4dY1lWllzX7mPBI3","2017-11-01","do"
11,"Caile (feat. Zion & De La Ghetto)","Revol",0,"626rYyBfeAeleh1F5t4B70","2017-11-01","do"
11,"Quiero Repetir","Ozuna",0,"0MIcPSq9n2z5H8TAfEstri","2017-11-01","do"
11,"El Amante","Nicky Jam",0,"3umS4y3uQDkqekNjVpiRUs","2017-11-01","do"
11,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel Aa",0,"5q2JbCNi4FcnglgPfxcV65","2017-11-01","do"
11,"Pa Ti","Bad Bunny",0,"17nOaHsTn06jxuU9NpHuFU","2017-11-01","do"
11,"Héroe Favorito","Romeo Santos",0,"6RFJxVj9tL0Xrd3Jve4Vo4","2017-11-01","do"
11,"Si Tu Novio Te Deja Sola","J Balvin",0,"0RFFFGtPn6a58RHY3ccVYX","2017-11-01","do"
11,"Passionfruit","Drake",0,"7hDc8b7IXETo14hHIHdnhd","2017-11-01","do"
11,"Klk Con Klk","Ceky Viciny",0,"0ePaNpLMQ9orlCF6bhIbjH","2017-11-01","do"
11,"Ahora Dice","Chris Jeday",0,"22eADXu8DfOAUEDw4vU8qy","2017-11-01","do"
11,"Despacito - Remix","Luis Fonsi",0,"5CtI0qwDJkDQGwXD1H1cLb","2017-11-01","do"
11,"Me Rehúso","Danny Ocean",0,"6De0lHrwBfPfrhorm9q1Xl","2017-11-01","do"
11,"No Te Hagas","Jory Boy",0,"5hKjEpYrJIJs6uPl7zw6Y6","2017-11-01","do"
11,"Escápate Conmigo","Wisin",0,"2cnKEkpVUSV4wnjQiTWfH6","2017-11-01","do"
11,"Felices los 4","Maluma",0,"0qYTZCo5Bwh1nsUFGZP3zn","2017-11-01","do"
11,"Tu Foto","Ozuna",0,"0Szp49tpFasIjX04Mcsydp","2017-11-01","do"
11,"Me Rehúso","Danny Ocean",0,"6Zosz8w6CmdGMZM6p4JlbQ","2017-11-01","do"
11,"La Última Vez","Anuel Aa",0,"4J1e3hbf0e5YUZjkxyJWD3","2017-11-01","do"
11,"Ayer","El Nene La amenaza",0,"1cnkBW0kaDEFnKHOdJTOoh","2017-11-01","do"
11,"Me Mata","Bad Bunny",0,"2wgDAPgBhFA7pnIbm0YOhP","2017-11-01","do"
11,"Mi Gente","J Balvin",0,"2rb5MvYT7ZIxbKW5hfcHx8","2017-11-01","do"
11,"Bebe (feat. Anuel AA)","Ozuna",0,"6SIrNxmmdbv1KUbFBu1PaN","2017-11-01","do"
11,"Imitadora","Romeo Santos",0,"6r46lnXFbE9fr2d3KNaGbe","2017-11-01","do"
11,"Tu No Metes Cabra","Bad Bunny",0,"10nQ3Pj0o1XotcikgJPVKD","2017-11-01","do"
11,"El Farsante","Ozuna",0,"2LW4Zu7FcrwjWm3t5Rv3Oq","2017-11-01","do"
11,"Krippy Kush","Farruko",0,"3rgjBiAMVGnxmsTDmUy8vb","2017-11-01","do"
11,"El Farsante","DJ Jonathan",0,"66gNNRsKkmECPQUrvpMQtS","2017-11-01","do"
11,"Krippy Kush","Farruko",0,"7FfpP3YZ6fOWMdxkIAtud9","2017-11-01","do"
11,"Ahora Me Llama","Karol G",0,"61HHDBLqF3AmSvLfHKNGd2","2017-11-01","do"
11,"Chambea","Bad Bunny",0,"6ElmxV9B2mSNscEjP27M7i","2017-11-01","do"
11,"Limonada Coco - Remix","Musicologo The Libro",0,"1itehVOMz2qYoxf4kKksfd","2017-11-01","do"
11,"La Modelo","Ozuna",0,"2m2ZGfJcs3lHWNPzhWH3XH","2017-11-01","do"
11,"Corazón","Maluma",0,"4lESS6vuruP6a79KWRaQou","2017-11-01","do"
1,"Sensualidad","Bad Bunny",399379,"5hcisvFMidkMJlElTO9Qmw","2017-12-01","do"
2,"Chambea","Bad Bunny",346992,"6ElmxV9B2mSNscEjP27M7i","2017-12-01","do"
3,"Criminal","Natti Natasha",323840,"6Za3190Sbw39BBC77WSS1C","2017-12-01","do"
4,"Se Preparó","Ozuna",284789,"1m69ELEgE6k5ZWsap40ozt","2017-12-01","do"
5,"Vuelve","Daddy Yankee",280400,"0lJCqIx5BhZtf6QtYI2fbv","2017-12-01","do"
6,"Limonada Coco - Remix","Musicologo The Libro",226781,"1itehVOMz2qYoxf4kKksfd","2017-12-01","do"
7,"Quiero Repetir","Ozuna",242537,"0MIcPSq9n2z5H8TAfEstri","2017-12-01","do"
8,"Mayores","Becky G",232173,"7JNh1cfm0eXjqFVOzKLyau","2017-12-01","do"
9,"La Modelo","Ozuna",88973,"2m2ZGfJcs3lHWNPzhWH3XH","2017-12-01","do"
10,"Corazón","Maluma",153433,"4lESS6vuruP6a79KWRaQou","2017-12-01","do"
11,"Soy Peor","Bad Bunny",0,"5MT96Zz0ymUJNm8obKZQr0","2017-12-01","do"
11,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",0,"4aWmUDTfIPGksMNLV2rQP2","2017-12-01","do"
11,"Chantaje","Shakira",0,"6mICuAdrwEjh6Y6lroV2Kg","2017-12-01","do"
11,"Tu No Vive Asi (feat. Mambo Kingz & DJ Luian)","Arcangel",0,"6NSMQFKgjpQb0KkjMDYIK0","2017-12-01","do"
11,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)","Farruko",0,"2FrnTVSHjgnEylKGdHRUK1","2017-12-01","do"
11,"Otra Vez (feat. J Balvin)","Zion & Lennox",0,"3QwBODjSEzelZyVjxPOHdq","2017-12-01","do"
11,"Shape of You","Ed Sheeran",0,"7qiZfU4dY1lWllzX7mPBI3","2017-12-01","do"
11,"Caile (feat. Zion & De La Ghetto)","Revol",0,"626rYyBfeAeleh1F5t4B70","2017-12-01","do"
11,"El Amante","Nicky Jam",0,"3umS4y3uQDkqekNjVpiRUs","2017-12-01","do"
11,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel Aa",0,"5q2JbCNi4FcnglgPfxcV65","2017-12-01","do"
11,"Pa Ti","Bad Bunny",0,"17nOaHsTn06jxuU9NpHuFU","2017-12-01","do"
11,"Héroe Favorito","Romeo Santos",0,"6RFJxVj9tL0Xrd3Jve4Vo4","2017-12-01","do"
11,"Si Tu Novio Te Deja Sola","J Balvin",0,"0RFFFGtPn6a58RHY3ccVYX","2017-12-01","do"
11,"Passionfruit","Drake",0,"7hDc8b7IXETo14hHIHdnhd","2017-12-01","do"
11,"Klk Con Klk","Ceky Viciny",0,"0ePaNpLMQ9orlCF6bhIbjH","2017-12-01","do"
11,"Ahora Dice","Chris Jeday",0,"22eADXu8DfOAUEDw4vU8qy","2017-12-01","do"
11,"Despacito - Remix","Luis Fonsi",0,"5CtI0qwDJkDQGwXD1H1cLb","2017-12-01","do"
11,"Me Rehúso","Danny Ocean",0,"6De0lHrwBfPfrhorm9q1Xl","2017-12-01","do"
11,"No Te Hagas","Jory Boy",0,"5hKjEpYrJIJs6uPl7zw6Y6","2017-12-01","do"
11,"Escápate Conmigo","Wisin",0,"2cnKEkpVUSV4wnjQiTWfH6","2017-12-01","do"
11,"Felices los 4","Maluma",0,"0qYTZCo5Bwh1nsUFGZP3zn","2017-12-01","do"
11,"Tu Foto","Ozuna",0,"0Szp49tpFasIjX04Mcsydp","2017-12-01","do"
11,"Me Rehúso","Danny Ocean",0,"6Zosz8w6CmdGMZM6p4JlbQ","2017-12-01","do"
11,"La Última Vez","Anuel Aa",0,"4J1e3hbf0e5YUZjkxyJWD3","2017-12-01","do"
11,"Ayer","El Nene La amenaza",0,"1cnkBW0kaDEFnKHOdJTOoh","2017-12-01","do"
11,"Me Mata","Bad Bunny",0,"2wgDAPgBhFA7pnIbm0YOhP","2017-12-01","do"
11,"Mi Gente","J Balvin",0,"2rb5MvYT7ZIxbKW5hfcHx8","2017-12-01","do"
11,"Bebe (feat. Anuel AA)","Ozuna",0,"6SIrNxmmdbv1KUbFBu1PaN","2017-12-01","do"
11,"Imitadora","Romeo Santos",0,"6r46lnXFbE9fr2d3KNaGbe","2017-12-01","do"
11,"Tu No Metes Cabra","Bad Bunny",0,"10nQ3Pj0o1XotcikgJPVKD","2017-12-01","do"
11,"El Farsante","Ozuna",0,"2LW4Zu7FcrwjWm3t5Rv3Oq","2017-12-01","do"
11,"Krippy Kush","Farruko",0,"3rgjBiAMVGnxmsTDmUy8vb","2017-12-01","do"
11,"El Farsante","DJ Jonathan",0,"66gNNRsKkmECPQUrvpMQtS","2017-12-01","do"
11,"El Farsante","Ozuna",0,"5EId1m4DNwTf3at31w8bPJ","2017-12-01","do"
11,"Krippy Kush","Farruko",0,"7FfpP3YZ6fOWMdxkIAtud9","2017-12-01","do"
11,"Báilame - Remix","Nacho",0,"3VClLWqNn80Llv0PJOsKgr","2017-12-01","do"
11,"Explícale","Yandel",0,"1LszjjoVwDDZcWUQbzeDLG","2017-12-01","do"
11,"Ahora Me Llama","Karol G",0,"61HHDBLqF3AmSvLfHKNGd2","2017-12-01","do"
11,"Criminal","Natti Natasha",0,"2SmgFAhQkQCQPyBiBxR6Te","2017-12-01","do"
11,"Échame La Culpa","Luis Fonsi",0,"1zsG4eaZmkA1dvjDDsAGLK","2017-12-01","do"
